ancestry,cancer_type,gene,cancer_carriers,cancer_n,control_carriers,control_n,cancer_freq_pct,control_freq_pct,enrichment,p_value,q_value,significant
White,Breast,ATM,46,7765,45,15942,0.592401802962009,0.2822732404968009,2.1,0.00046479496712615947,0.008845629218119723,True
White,Breast,BARD1,14,7765,3,15942,0.18029620090148102,0.01881821603312006,9.58,3.708849536379041e-05,0.0009820388555021025,True
White,Breast,BRCA1,113,7765,29,15942,1.4552479072762394,0.1819094216534939,8.0,1.7224386988797375e-30,3.496550558725867e-28,True
White,Breast,BRCA2,164,7765,31,15942,2.112041210560206,0.1944548990089073,10.86,5.8272017363695155e-50,3.548765857449035e-47,True
White,Breast,CHEK2,19,7765,12,15942,0.2446877012234385,0.07527286413248024,3.25,0.001595813132800667,0.02260116739245596,True
White,Breast,MUTYH,115,7765,166,15942,1.4810045074050224,1.04127462049931,1.42,0.003956344179017841,0.04227041412319062,True
White,Breast,NF1,11,7765,4,15942,0.1416613007083065,0.02509095471082675,5.65,0.0015306956313399709,0.02219508665442958,True
White,Breast,PALB2,36,7765,13,15942,0.463618802318094,0.08154560281018693,5.69,9.703589071534371e-09,6.566095271738258e-07,True
White,Breast,PTEN,5,7765,0,15942,0.0643915003219575,0.0,inf,0.0037665878432459705,0.04096164279529993,True
White,Breast,RET,10,7765,7,15942,0.128783000643915,0.043909170743946804,2.93,0.03494061065763133,0.20074369708016487,False
White,Breast,TP53,13,7765,5,15942,0.1674179008370895,0.03136369338853343,5.34,0.0007021420915159086,0.01221727239237681,True
White,Breast,APC,3,7765,4,15942,0.0386349001931745,0.02509095471082675,1.54,0.6901607734973114,1.0,False
White,Breast,MLH1,5,7765,4,15942,0.0643915003219575,0.02509095471082675,2.57,0.16415568786991702,0.5733954672555063,False
White,Breast,MSH2,1,7765,1,15942,0.012878300064391501,0.006272738677706688,2.05,0.5478073626798574,1.0,False
White,Breast,MSH6,10,7765,22,15942,0.128783000643915,0.1380002509095471,0.93,1.0,1.0,False
White,Breast,PMS2,7,7765,16,15942,0.09014810045074051,0.100363818843307,0.9,1.0,1.0,False
White,Breast,FH,3,7765,1,15942,0.0386349001931745,0.006272738677706688,6.16,0.10601036262739791,0.436218316487063,False
White,Breast,FLCN,2,7765,1,15942,0.025756600128783003,0.006272738677706688,4.11,0.2515596656715547,0.7473081831943615,False
White,Breast,CDKN2A,2,7765,2,15942,0.025756600128783003,0.012545477355413375,2.05,0.6015703433756037,1.0,False
White,Breast,MITF,25,7765,53,15942,0.3219575016097875,0.3324551499184544,0.97,1.0,1.0,False
White,Breast,RAD51C,5,7765,6,15942,0.0643915003219575,0.03763643206624012,1.71,0.3553790526828897,0.9260488744258265,False
White,Breast,RAD51D,6,7765,5,15942,0.077269800386349,0.03136369338853343,2.46,0.19431332813367191,0.6396584693697632,False
White,Breast,CDH1,3,7765,2,15942,0.0386349001931745,0.012545477355413375,3.08,0.3388291563831647,0.8932768668283433,False
White,Colorectal,ATM,8,2338,45,15942,0.3421727972626176,0.2822732404968009,1.21,0.5407233191564096,1.0,False
White,Colorectal,BARD1,2,2338,3,15942,0.0855431993156544,0.01881821603312006,4.55,0.12559256213051648,0.48104320966971403,False
White,Colorectal,BRCA1,7,2338,29,15942,0.29940119760479045,0.1819094216534939,1.65,0.21452873476512563,0.6804583305831329,False
White,Colorectal,BRCA2,8,2338,31,15942,0.3421727972626176,0.1944548990089073,1.76,0.14941468886012144,0.5384233462474198,False
White,Colorectal,CHEK2,2,2338,12,15942,0.0855431993156544,0.07527286413248024,1.14,0.6977269814293674,1.0,False
White,Colorectal,MUTYH,36,2338,166,15942,1.5397775876817792,1.04127462049931,1.48,0.0431721854443535,0.23686361203253406,False
White,Colorectal,NF1,1,2338,4,15942,0.0427715996578272,0.02509095471082675,1.7,0.4955731234702539,1.0,False
White,Colorectal,PALB2,3,2338,13,15942,0.1283147989734816,0.08154560281018693,1.57,0.448196771302394,1.0,False
White,Colorectal,PTEN,1,2338,0,15942,0.0427715996578272,0.0,inf,0.12789934354485777,0.48379316906098374,False
White,Colorectal,RET,1,2338,7,15942,0.0427715996578272,0.043909170743946804,0.97,1.0,1.0,False
White,Colorectal,TP53,1,2338,5,15942,0.0427715996578272,0.03136369338853343,1.36,0.5601066412446203,1.0,False
White,Colorectal,APC,5,2338,4,15942,0.21385799828913601,0.02509095471082675,8.52,0.002746323571831444,0.03352297650834399,True
White,Colorectal,MLH1,17,2338,4,15942,0.7271171941830624,0.02509095471082675,28.98,2.2374096711975162e-12,2.270970816265479e-10,True
