cancer_type,gene,cancer_carriers,cancer_total,control_carriers,control_total,cancer_freq_pct,control_freq_pct,enrichment,odds_ratio,p_value,q_value,significant
Stomach,ATM,5,494,73,30000,1.0121457489878543,0.24333333333333335,4.16,4.192,0.008765513541703424,0.053071200170677096,False
Stomach,BAP1,0,494,15,30000,0.0,0.05,0.0,0.0,1.0,1.0,False
Stomach,BARD1,0,494,8,30000,0.0,0.02666666666666667,0.0,0.0,1.0,1.0,False
Stomach,BRCA1,3,494,41,30000,0.6072874493927125,0.13666666666666666,4.44,4.465,0.03428966154723819,0.16312081850329024,False
Stomach,BRCA2,7,494,58,30000,1.417004048582996,0.19333333333333333,7.33,7.42,8.68202784829488e-05,0.0010707834346230351,True
Stomach,BRIP1,0,494,17,30000,0.0,0.05666666666666667,0.0,0.0,1.0,1.0,False
Stomach,CDH1,4,494,3,30000,0.8097165991902834,0.01,80.97,81.624,2.2912146330246184e-06,3.8148723639859895e-05,True
Stomach,CDKN2A,0,494,7,30000,0.0,0.023333333333333334,0.0,0.0,1.0,1.0,False
Stomach,CHEK2,0,494,23,30000,0.0,0.07666666666666667,0.0,0.0,1.0,1.0,False
Stomach,EPCAM,1,494,2,30000,0.20242914979757085,0.006666666666666667,30.36,30.424,0.04781820752870818,0.21614149247068223,False
Stomach,FH,0,494,3,30000,0.0,0.01,0.0,0.0,1.0,1.0,False
Stomach,FLCN,0,494,4,30000,0.0,0.013333333333333334,0.0,0.0,1.0,1.0,False
Stomach,KIT,0,494,1,30000,0.0,0.0033333333333333335,0.0,0.0,1.0,1.0,False
Stomach,MET,0,494,0,30000,0.0,0.0,inf,,1.0,1.0,False
Stomach,MITF,4,494,68,30000,0.8097165991902834,0.22666666666666668,3.57,3.593,0.029520967223762802,0.15360128258614084,False
Stomach,MLH1,3,494,6,30000,0.6072874493927125,0.02,30.36,30.544,0.0003300795062301267,0.003140470730703777,True
Stomach,MSH2,3,494,4,30000,0.6072874493927125,0.013333333333333334,45.55,45.819,0.00014090406770356757,0.0015640351515096,True
Stomach,MSH6,2,494,34,30000,0.4048582995951417,0.11333333333333334,3.57,3.583,0.11519197682733526,0.3511392171653577,False
Stomach,MUTYH,7,494,264,30000,1.417004048582996,0.88,1.61,1.619,0.217140927269995,0.5128221899355201,False
Stomach,NBN,0,494,12,30000,0.0,0.04,0.0,0.0,1.0,1.0,False
Stomach,NF1,1,494,9,30000,0.20242914979757085,0.03,6.75,6.759,0.15070604668134474,0.39561012510408444,False
Stomach,NTHL1,0,494,21,30000,0.0,0.06999999999999999,0.0,0.0,1.0,1.0,False
Stomach,PALB2,1,494,33,30000,0.20242914979757085,0.11,1.84,1.842,0.42627795719964967,0.7930198868574488,False
Stomach,PMS2,1,494,24,30000,0.20242914979757085,0.08,2.53,2.533,0.3353376547696399,0.6593836794776475,False
Stomach,POLE,0,494,9,30000,0.0,0.03,0.0,0.0,1.0,1.0,False
